project;plan
token;"8.x-1.7+ is Drupal 9 compatible."
pathauto;"8.x-1.7+ is Drupal 9 compatible."
admin_toolbar;"This module is ready for Drupal 9."
metatag;"Fully compatible as of 8.x-1.13."
entity_reference_revisions;"Compatible with Drupal 9"
webform;"To fully support Drupal 9, the Webform module will be tagging a <a href=""https://www.drupal.org/project/webform/issues/3104460"">6.0.0 release</a>. This release will remove deprecated code, improve APIs, and fix any backward compatibility breaking issues. Learn more about <a href=""https://www.jrockowitz.com/blog/webform-road-to-drupal-9"">a bump in the Webform module's road to Drupal 9</a>."
paragraphs;"8.x-1.x-dev is compatible with Drupal 9."
redirect;"8.x-1.x-dev is Drupal 9 compatible."
captcha;"Captcha 1.1 is now Drupal 9 compatible."
devel;"Original issue [#3118857] Now moved to <a href=""https://gitlab.com/drupalspoons/devel/-/issues/224"" title=""DrupalSpoons issue #224"">DrupalSpoons issue #224</a>"
google_analytics;"Google Analytics 8.x-2.5+ supports Drupal 9."
simple_sitemap;"Compatible with Drupal 9; please report any incompatibilities in the <a href=""https://www.drupal.org/project/issues/simple_sitemap"">issue queue</a>."
search_api;"This module is fully compatible with Drupal 9."
entity_browser;"This module is Drupal 9 compatible."
video_embed_field;"Where possible, users are encouraged to use core media instead of Video Embed Field, however for existing sites, a Drupal 9 compatible version has already been tagged."
better_exposed_filters;"The 8.x-5.x version of BEF is compatible with Drupal 8.8 and later.  We have released our first alpha version which is ready for testing. Please report any issues you find in the issue queue, and we will get to them as soon as possible."
twig_tweak;"Drupal 9 is fully supported since version 2.5."
embed;"This module is Drupal 9 ready!"
honeypot;"This module is fully compatible with Drupal 9."
imce;"IMCE FILE MANAGER 8.x-2.2+ supports Drupal 9. Enjoy."
editor_advanced_link;"This module is ready for Drupal 9!"
address;"Compatible since version 8.x-1.8"
config_filter;"Config Filter 1.x and 2.x are compatible with Drupal 9"
config_update;"Latest release is compatible with Drupal 9"
views_infinite_scroll;"This module has a release that is compatible with Drupal 9."
smtp;"8.x-1.0 and above are D9 compatible."
backup_migrate;"Version 5 is fully compatible with Drupal 9."
colorbox;"This module is Drupal 9 compatible 🍻"
swiftmailer;"Swiftmailer 2.x supports Drupal 9"
focal_point;"Version >= 8.x-1.4 is compatible with Drupal 9"
blazy;"Blazy 8.x-1.0-rc6+ and 8.x-2.0-rc3+ supports Drupal 9. Enjoy."
block_class;"Black Class 8.x-1.2+ supports Drupal 9. Enjoy."
eu_cookie_compliance;"This module is ready for Drupal 9"
adminimal_admin_toolbar;"This module is ready for Drupal 9!"
ds;"This module is ready for Drupal 9 as of 8.x-3.6!"
config_split;"Config Split is compatible with Drupal 9 from version 8.x-1.5 onwards"
image_widget_crop;"As of version 2.3, this module is compatible with Drupal 9."
slick;"Slick Carousel 8.x-2.0-rc3+ supports Drupal 9. Enjoy."
migrate_plus;"Supports Drupal 8 or 9"
migrate_tools;"Support Drupal 8/9 and Drush 8 (best effort) and Drush 9/10."
easy_breadcrumb;"This module is Drupal 9 compatible 🍻"
scheduler;"Read more about this project’s readiness at [#3136831]"
externalauth;"Read more about this project’s readiness at https://www.drupal.org/project/externalauth/issues/3119389"
views_bulk_operations;"Fully supports D8/D9."
link_attributes;"✅ This module is currently compatible with Drupal 9 🎉 [#3042671]"
panels;"Panels 4.6+ Supports Drupal 9. Requires Drupal 8.8+"
fontawesome;"Drupal 9 compatible"
google_tag;"This module is compatible with Drupal 9."
smart_trim;"Smart Trim is already compatible with Drupal 9!"
viewsreference;"This module is ready for Drupal 9! [#3042651] [#3114382]"
svg_image;"SVG Image can be used with Drupal 9! ᕕ( ᐛ )ᕗ"
features;"Features is compatible with Drupal 9 starting with the 8.x-3.9 release."
extlink;"This module is Drupal 9 compatible 🍻"
xmlsitemap;"This module is Drupal 9 ready! See [#3004330]"
page_manager;"Beta5 and above support D9."
csv_serialization;"This 8.x-2.x branch is Drupal 9 compatible."
sitemap;"The 8.x-2.x branch supports both Drupal 8 and Drupal 9."
slick_views;"Slick Views 8.x-2.x supports Drupal 9. Enjoy."
color_field;"Dual Drupal 8/9 Compatible with 8.x-2.3+"
restui;"No known issues."
facets;"The latest release supports both 8.x and 9.x"
token_filter;"8.x-1.2+ passes <a href=""https://github.com/mglaman/drupal-check"">drupal-check</a> and has been updated to allow installation in Drupal 9"
views_slideshow;"This module is Drupal 9 compatible 🍻"
editor_file;"This module is ready for Drupal 9!"
components;"Drupal 8.x-2.0-beta3 and later are compatible with Drupal 9."
geolocation;"See [#3089461]"
search_api_solr;"The port to Drupal 9 has been finished! Search API Solr 4.x supports Drupal 8 and 9 in parallel."
typed_data;"This module is Drupal 9 ready."
views_bootstrap;"Please ensure you are using the latest 8.4x release as this has been ported to Drupal 9."
file_mdm;"File metadata manager 2.x is ready for Drupal 9."
contact_block;"The <a href=""/project/contact_block/releases/8.x-1.5"">8.x-1.5 release</a> is compatible with both Drupal 8 and 9."
addtoany;"AddToAny 8.x-1.13+ supports Drupal 9."
advagg;"Advanced CSS/JS Aggregation 8.x-4.0+ supports Drupal 9."
entity_clone;"8.x-1.0-beta4+ is Drupal 9 compatible."
twig_field_value;"The <a href=""/project/twig_field_value/releases/2.0.0"">2.0.0 release</a> is Drupal 8.8 and 9.x compatible."
chosen;"Chosen 8.x-2.9 supports Drupal 9."
antibot;"Completed with version 8.x-1.4."
autologout;"Automated Logout 8.x-1.3+ supports Drupal 9."
menu_breadcrumb;"Compatible with Drupal 9"
robotstxt;"This module is Drupal 9 ready as of the 8.x-1.4 release"
simplenews;"Simplenews 8.x-2.x supports Drupal 9"
anchor_link;"<strong><a href=""https://www.drupal.org/project/issues/search/anchor_link?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
masquerade;"Initial compatibility commited in [#3042713]"
geofield;"Geofield 8.x-1.14+ supports Drupal 9."
rules;"The 8.x-3.x-dev version of Rules is compatible with Drupal 9 and works with Drupal 9.  Rules still faces an existential threat until https://www.drupal.org/project/drupal/issues/3126747 is fixed. If you want to ensure the future of Rules in Drupal 9 and beyond, please participate in that issue."
bootstrap_barrio;"Theme is ready for Drupal 9"
acquia_connector;"Acquia Connector 8.x-2.x is fully compatible with Drupal 9. Acquia Connector 8.x-1.x is compatible, but its search dependencies (Search API Solr 8.x-1.x) are <em>not</em> compatible. Customers needing Search in Drupal 9 should use the standalone <a href=""https://www.drupal.org/project/acquia_search_solr"">Acquia Search Solr</a> module."
panelbutton;"This module supports Drupal 9."
purge;"Use the dev release as it stands today and upgrade to <strong>8.x-3.0</strong> once it gets out!"
view_unpublished;"View unpublished 8.x-1.0-rc2+ is Drupal 9 compatible."
social_media_links;"This module is Drupal 9 compatible 🍻"
entityqueue;"This module is compatible with Drupal 9."
taxonomy_menu;"As of 21 May 2019, Taxonomy menu <a href=""/project/taxonomy_menu/releases/8.x-3.x-dev"">8.x-3.x-dev</a> is already fully compatible with Drupal 9!"
feeds;"8.x-3.0-alpha8+ is Drupal 9 compatible."
